0.661261	0.574485	0.502914	0.445023	0.415080	0.390035	5.514290
0.603758	0.527265	0.463975	0.414638	0.387992	0.370927	5.567570
0.566520	0.469838	0.433964	0.395996	0.371467	0.354486	4.944440
0.499856	0.421822	0.392618	0.371440	0.351841	0.336254	4.378380
0.423137	0.380651	0.365826	0.350164	0.337923	0.325495	3.864860
0.691629	0.607166	0.505925	0.451985	0.416838	0.394700	6.028570
0.668222	0.575514	0.490208	0.431908	0.403238	0.382004	6.108110
0.645855	0.531319	0.467172	0.422774	0.393758	0.374053	5.388890
0.605919	0.500492	0.439259	0.397279	0.372857	0.352392	4.714290
0.550146	0.446930	0.406500	0.379911	0.356740	0.340863	4.361110
0.657617	0.548707	0.481216	0.429343	0.400938	0.379515	4.771430
0.621250	0.518804	0.452684	0.411646	0.386097	0.365200	4.270270
0.562962	0.465350	0.419727	0.390611	0.365757	0.352806	3.702700
0.473922	0.409212	0.381899	0.355739	0.337579	0.327406	3.194440
0.356804	0.343244	0.343804	0.330081	0.316395	0.308406	2.714290
0.680624	0.582639	0.494514	0.439033	0.408146	0.383232	5.971430
0.656990	0.564725	0.479950	0.427784	0.403825	0.380114	5.756760
0.637696	0.544699	0.455369	0.409578	0.382188	0.360474	5.270270
0.622481	0.523125	0.452071	0.400650	0.376372	0.355116	5.243240
0.572167	0.466867	0.408620	0.376779	0.357680	0.339471	4.714290
0.659499	0.569945	0.482326	0.429106	0.397133	0.372874	5.918920
0.624863	0.559509	0.474100	0.424269	0.396245	0.371930	5.702700
0.573793	0.488012	0.438170	0.396949	0.374728	0.354834	5.083330
0.521798	0.435792	0.404502	0.380002	0.358816	0.340763	4.138890
0.447578	0.402917	0.383728	0.360732	0.345472	0.330055	3.138890
0.634371	0.549723	0.466647	0.417491	0.392543	0.371457	4.000000
0.557614	0.461214	0.416146	0.386169	0.364074	0.349180	3.891890
0.492436	0.451210	0.415968	0.382439	0.364477	0.345863	3.729730
0.457623	0.432873	0.397836	0.372593	0.352880	0.339840	3.485710
0.408285	0.381093	0.365502	0.344087	0.328917	0.318667	2.944440
0.648265	0.534263	0.454818	0.411706	0.386992	0.365979	5.083330
0.525483	0.482132	0.430370	0.389829	0.370895	0.352804	4.750000
0.452105	0.438291	0.393017	0.356344	0.339339	0.326978	4.000000
0.430173	0.391045	0.370301	0.348999	0.335846	0.324308	3.222220
0.396831	0.374583	0.355782	0.331635	0.325872	0.315322	2.194440
